Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_avionics\tests\unit\llm\test_llamaserver_provider_new.py,test_get_stats,220,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_anthropic_provider_generate,406,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_openai_provider_generate,604,6,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_llamaserver_provider_generate_native_api,849,6,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,matches_event,82,6,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,_deliver_once,506,6,B,LOW
jeeves-core,jeeves_mission_system\api\health.py,check_readiness,94,6,B,LOW
jeeves-core,jeeves_mission_system\api\__init__.py,create_mission_runtime,91,6,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\governance_service.py,HealthServicer,117,6,B,LOW
jeeves-core,jeeves_mission_system\services\chat_service.py,_prepare_session_payload,747,6,B,LOW
jeeves-core,jeeves_mission_system\services\chat_service.py,_prepare_message_payload,765,6,B,LOW
